SP,SPEC,CONF,COMMONNAME,SCINAME,SPEC6,CONF6,LANDBIRD
,RUBU,,Rustic Bunting,Emberiza rustica,EMBRUS,,TRUE
,YTBU,,Yellow-throated Bunting,Emberiza elegans,EMBELE,,TRUE
,YBSB,*,Yellow-breasted Bunting,Emberiza aureola,EMBAUR,,TRUE
,GRBU,,Gray Bunting,Emberiza variabilis,EMBVAR,,TRUE
,PALB,*,Pallas's Bunting,Emberiza pallasi,EMBPAL,,TRUE
,REBU,,Reed Bunting,Emberiza schoeniclus,EMBSCH,,TRUE
,YTCH,,Yellow-throated Chlorospingus,Chlorospingus flavigularis,CHLFLG,*,TRUE
,ATCH,,Ashy-throated Chlorospingus,Chlorospingus canigularis,CHLCAG,*,TRUE
,SCCH,,Sooty-capped Chlorospingus,Chlorospingus pileatus,CHLPIL,,TRUE
,COCL,*,Common Chlorospingus,Chlorospingus flavopectus,CHLFLP,*,TRUE
,TACH,,Tacarcuna Chlorospingus,Chlorospingus tacarcunae,CHLTAC,,TRUE
,PICH,,Pirre Chlorospingus,Chlorospingus inornatus,CHLINO,,TRUE
,RWSP,,Rufous-winged Sparrow,Peucaea carpalis,PEUCAR,,TRUE
,CTSP,,Cinnamon-tailed Sparrow,Peucaea sumichrasti,PEUSUM,,TRUE
,SHSP,,Stripe-headed Sparrow,Peucaea ruficauda,PEURUF,,TRUE
,BCHS,*,Black-chested Sparrow,Peucaea humeralis,PEUHUM,,TRUE
,BRIS,*,Bridled Sparrow,Peucaea mystacalis,PEUMYS,,TRUE
,BOSP,,Botteri's Sparrow,Peucaea botterii,PEUBOT,,TRUE
,CASP,,Cassin's Sparrow,Peucaea cassinii,PEUCAS,,TRUE
,BACS,*,Bachman's Sparrow,Peucaea aestivalis,PEUAES,,TRUE
,GRSP,,Grasshopper Sparrow,Ammodramus savannarum,AMMSAV,,TRUE
+,FGSP,,Florida Grasshopper Sparrow,Ammodramus savannarum floridanus,AMMSFL,,TRUE
,OLSP,,Olive Sparrow,Arremonops rufivirgatus,ARRRUF,,TRUE
,GBSP,,Green-backed Sparrow,Arremonops chloronotus,ARRCHL,,TRUE
,BSTS,*,Black-striped Sparrow,Arremonops conirostris,ARRCON,,TRUE
,FSSP,,Five-striped Sparrow,Amphispiza quinquestriata,AMPQUI,,TRUE
,BTSP,,Black-throated Sparrow,Amphispiza bilineata,AMPBIL,,TRUE
,LASP,,Lark Sparrow,Chondestes grammacus,CHOGRA,,TRUE
,LARB,*,Lark Bunting,Calamospiza melanocorys,CALMEC,*,TRUE
,CHSP,,Chipping Sparrow,Spizella passerina,SPIPAS,,TRUE
,CCSP,,Clay-colored Sparrow,Spizella pallida,SPIPAL,,TRUE
