"prov_bcr","Longitude","Latitude"
"TN-27",-88.9035400050147,35.6538837222503
"VA-27",-76.9250296617845,37.3249754108219
"AL-28",-86.4128816124625,33.7995820318922
"CT-28",-73.4174217685761,41.7365155155596
"GA-28",-84.6311283556244,34.5928260844224
"KY-28",-83.3744042255739,37.5011756730988
"MA-28",-72.8057172316568,42.3026414435328
"MD-28",-78.5879534663629,39.5781258775792
"NC-28",-82.6036867675487,35.6498924969451
"NJ-28",-74.7130987704421,40.9778092231461
"NY-28",-75.8704863577722,42.1943971475241
"OH-28",-81.9222169974163,39.6732572612913
"PA-28",-77.8355144536857,40.91385610709
"SC-28",-82.8394076658105,34.9578954464934
"TN-28",-84.161465683912,35.9074163953524
"VA-28",-80.3562293709475,37.577795545107
"WV-28",-80.6220767938354,38.6403687699482
"AL-29",-85.4523851905333,33.0378571211096
"DE-29",-75.6190553021225,39.7611430922419
"GA-29",-83.9081956727708,33.6067878865274
"MD-29",-76.8854939973155,39.4319183846204
"NC-29",-80.0288138097638,35.8276109653287
"NJ-29",-74.5474880610849,40.5991042554663
"PA-29",-76.0380015065387,40.0532433799072
"SC-29",-81.8044405192143,34.5277469010483
"VA-29",-78.4241933136285,37.5440728261621
"CT-30",-72.6367777083681,41.5831174006326
"DE-30",-75.4914468838266,38.9511754991875
"MA-30",-71.4404615188069,42.1913536774322
"MD-30",-76.1827547259803,38.6690580159097
"ME-30",-70.5993628927717,43.442306604796
"NH-30",-71.2325840932794,43.0409747445793
"NJ-30",-74.7136638805122,39.7998100938419
"NY-30",-73.3922653676491,40.9035189617728
"RI-30",-71.555274141166,41.6773302123651
"VA-30",-76.079653563407,37.6199627502701
"FL-31",-81.4303220205571,27.673151066651
"CA-32",-120.183742947741,36.5582609945992
"AZ-33",-112.984296386535,33.4894934929956
"CA-33",-116.311324636401,34.8028339780542
"NV-33",-115.782201257715,36.6708874700275
"UT-33",-113.974085528962,37.1059938156807
"AZ-34",-110.688945215187,33.524258165232
"NM-34",-108.290740197567,33.2705203823707
"AZ-35",-109.109421291364,32.4445317411246
"NM-35",-106.193083897323,32.7640063794587
"TX-35",-103.4636201711,30.6904408882715
"TX-36",-98.9649514420206,27.9016307805644
"LA-37",-91.7590170798491,29.8916450749817
"TX-37",-96.1701523941127,28.8628007827829
